Systeemtijd;Waarde;Datum;Totaal dt;Duizend;Dag
15:04:00;591;31-10-2016;31-10-2016;5906;maandag
15:12:00;585;31-10-2016;31-10-2016;5848;maandag
15:20:00;582;31-10-2016;31-10-2016;5817;maandag
15:28:00;580;31-10-2016;31-10-2016;5801;maandag
15:36:00;580;31-10-2016;31-10-2016;5795;maandag
15:44:00;578;31-10-2016;31-10-2016;5783;maandag
15:52:00;580;31-10-2016;31-10-2016;5795;maandag
16:00:00;584;31-10-2016;31-10-2016;5836;maandag
16:08:00;582;31-10-2016;31-10-2016;5824;maandag
16:16:00;584;31-10-2016;31-10-2016;5844;maandag
16:24:00;588;31-10-2016;31-10-2016;5883;maandag
16:32:00;584;31-10-2016;31-10-2016;5837;maandag
16:40:00;584;31-10-2016;31-10-2016;5844;maandag
16:48:00;586;31-10-2016;31-10-2016;5856;maandag
16:56:00;588;31-10-2016;31-10-2016;5876;maandag
17:04:00;593;31-10-2016;31-10-2016;5927;maandag
17:12:00;601;31-10-2016;31-10-2016;6009;maandag
17:20:00;603;31-10-2016;31-10-2016;6027;maandag
17:28:00;604;31-10-2016;31-10-2016;6036;maandag
17:36:00;610;31-10-2016;31-10-2016;6102;maandag
17:44:00;610;31-10-2016;31-10-2016;6104;maandag
17:52:00;613;31-10-2016;31-10-2016;6131;maandag
18:00:00;617;31-10-2016;31-10-2016;6169;maandag
18:08:00;626;31-10-2016;31-10-2016;6260;maandag
18:16:00;636;31-10-2016;31-10-2016;6360;maandag
18:24:00;630;31-10-2016;31-10-2016;6300;maandag
18:32:00;622;31-10-2016;31-10-2016;6217;maandag
18:40:00;619;31-10-2016;31-10-2016;6185;maandag
18:48:00;623;31-10-2016;31-10-2016;6229;maandag
18:56:00;619;31-10-2016;31-10-2016;6187;maandag
19:04:00;614;31-10-2016;31-10-2016;6143;maandag
19:12:00;612;31-10-2016;31-10-2016;6119;maandag
19:20:00;620;31-10-2016;31-10-2016;6199;maandag
19:28:00;621;31-10-2016;31-10-2016;6210;maandag
19:36:00;620;31-10-2016;31-10-2016;6203;maandag
